,ID,Timestamp,Message Length,Punctuation Count,Has Attachments
213,863230925613694996,2021-07-10 01:31:30.721000+00:00,4,0,0
214,863214497098891265,2021-07-10 00:26:13.858000+00:00,22,0,0
215,863214471836205066,2021-07-10 00:26:07.835000+00:00,26,0,0
216,863203194044416001,2021-07-09 23:41:19+00:00,34,2,0
217,863075349227372544,2021-07-09 15:13:18.420000+00:00,39,0,0
218,862905816708677653,2021-07-09 03:59:38.718000+00:00,4,0,0
219,862905810894848004,2021-07-09 03:59:37.332000+00:00,2,0,0
220,862904414561107969,2021-07-09 03:54:04.420000+00:00,24,2,0
221,862901161249996831,2021-07-09 03:41:08.770000+00:00,4,0,0
222,862900856563302420,2021-07-09 03:39:56.127000+00:00,10,0,0
223,862898022198018078,2021-07-09 03:28:40.362000+00:00,31,0,0
224,862897997921648692,2021-07-09 03:28:34.574000+00:00,4,0,0
225,862846193981587476,2021-07-09 00:02:43.552000+00:00,22,1,0
226,862846141694869514,2021-07-09 00:02:31.086000+00:00,30,0,0
227,862778569187655720,2021-07-08 19:34:00.545000+00:00,11,1,0
228,862778539177934890,2021-07-08 19:33:53.390000+00:00,22,1,0
229,862762589867606077,2021-07-08 18:30:30.778000+00:00,3,0,0
230,862762536456552479,2021-07-08 18:30:18.044000+00:00,4,0,0
231,862762498981232650,2021-07-08 18:30:09.109000+00:00,4,0,0
232,862762432078413854,2021-07-08 18:29:53.158000+00:00,4,0,0
233,862484247168548914,2021-07-08 00:04:28.707000+00:00,31,0,0
234,862484215344922644,2021-07-08 00:04:21.120000+00:00,3,0,0
235,862475719652147201,2021-07-07 23:30:35.589000+00:00,1,0,0
236,862224570911686657,2021-07-07 06:52:37.063000+00:00,14,0,0
237,862224553199140874,2021-07-07 06:52:32.840000+00:00,3,0,0
238,862214124549308456,2021-07-07 06:11:06.456000+00:00,20,0,0
239,862214074464206858,2021-07-07 06:10:54.515000+00:00,5,0,0
240,861851349067235328,2021-07-06 06:09:34.041000+00:00,26,0,0
241,861760063223627786,2021-07-06 00:06:49.800000+00:00,1,0,0
242,861759644464054282,2021-07-06 00:05:09.960000+00:00,69,0,0
243,861499146052829204,2021-07-05 06:50:02.299000+00:00,4,0,0
244,861477236467826728,2021-07-05 05:22:58.647000+00:00,21,0,0
245,861477215467208704,2021-07-05 05:22:53.640000+00:00,9,0,0
246,861477170152472637,2021-07-05 05:22:42.836000+00:00,6,0,0
247,861170791642169394,2021-07-04 09:05:16.507000+00:00,30,0,0
248,861170614828007424,2021-07-04 09:04:34.351000+00:00,4,0,0
249,861170599443431425,2021-07-04 09:04:30.683000+00:00,9,0,0
250,861170589359800321,2021-07-04 09:04:28.279000+00:00,6,0,0
251,861169325850492949,2021-07-04 08:59:27.035000+00:00,1,0,0
252,861159926960881684,2021-07-04 08:22:06.165000+00:00,5,0,0
253,861159727479128074,2021-07-04 08:21:18.605000+00:00,15,0,0
254,861159702389850112,2021-07-04 08:21:12.623000+00:00,11,0,0
255,861119135715164200,2021-07-04 05:40:00.774000+00:00,8,0,0
256,861053340750446603,2021-07-04 01:18:34.032000+00:00,36,0,0
257,861053297687396362,2021-07-04 01:18:23.765000+00:00,3,0,0
258,860910999867490304,2021-07-03 15:52:57.321000+00:00,8,0,0
259,860742249687941141,2021-07-03 04:42:24.143000+00:00,22,0,0
260,860742196449640478,2021-07-03 04:42:11.450000+00:00,44,1,0
261,860405471278399519,2021-07-02 06:24:09.913000+00:00,7,0,0
262,860405412288004096,2021-07-02 06:23:55.849000+00:00,6,0,0
263,860405216720846858,2021-07-02 06:23:09.222000+00:00,26,0,0
264,860405085351575562,2021-07-02 06:22:37.901000+00:00,15,0,0
265,860405054094442516,2021-07-02 06:22:30.449000+00:00,3,0,0
266,860404749811712020,2021-07-02 06:21:17.902000+00:00,29,0,0
267,860404314136903680,2021-07-02 06:19:34.029000+00:00,6,0,0
268,860404134759235594,2021-07-02 06:18:51.262000+00:00,10,1,0
269,860404064624574474,2021-07-02 06:18:34.541000+00:00,5,0,0
270,860403930353369098,2021-07-02 06:18:02.528000+00:00,10,0,0
271,860403897298452541,2021-07-02 06:17:54.647000+00:00,10,0,0
272,860403776179142666,2021-07-02 06:17:25.770000+00:00,3,0,0
273,859708094295441418,2021-06-30 08:13:02.284000+00:00,6,0,0
274,859708076377899038,2021-06-30 08:12:58.012000+00:00,9,1,0
